seller_id,order_volume_perf,late_rate,severe_late_rate,avg_delay,revenue,avg_review,low_review_rate,review_variance,order_volume_rev,seller_risk_index
f46490624488d3ff7ce78613913a7711,83,0.10989010989010989,0.054945054945054944,-8.586206896551724,9189.43,3.4615384615384617,0.31868131868131866,3.05128205128205,83,0.14066085075693058
a673821011d0cec28146ea42f5ab767f,129,0.1095890410958904,0.08904109589041095,-8.914893617021276,21964.670000000002,3.920289855072464,0.18493150684931506,2.190680207341585,129,0.13606862059866212
165fc07beebdcb6190fba8a06db2a449,50,0.109375,0.09375,-10.234375,31264.99,3.7540983606557377,0.234375,2.355191256830602,50,0.11455305302765333
aba1721a889e04decc910aa13b768ef4,83,0.10869565217391304,0.043478260869565216,-10.978260869565217,19491.71,4.456521739130435,0.09782608695652174,1.2618251313903486,83,0.10806870241081253
b14db04aa7881970e83ffa9426897925,83,0.10810810810810811,0.08108108108108109,-10.00952380952381,14702.0,3.764705882352941,0.18018018018018017,2.0232964472917883,83,0.12723629321002758
6fd52c528dcb38be2eea044946b811f8,67,0.10714285714285714,0.05952380952380952,-10.702380952380953,14977.21,3.4814814814814814,0.3333333333333333,2.927777777777777,67,0.1298556702580793
b499c00f28f4b7069ff6550af8c1348a,152,0.10695187165775401,0.0855614973262032,-11.483516483516484,20808.79,4.120218579234972,0.12834224598930483,1.7107428091034642,152,0.13057917695496613
7d76b645482be4a332374e8223836592,176,0.10695187165775401,0.053475935828877004,-8.666666666666666,7356.38,3.9297297297297296,0.15508021390374332,1.7830787309048182,176,0.14087454862134455
04308b1ee57b6625f47df1d56f00eedf,94,0.10638297872340426,0.07446808510638298,-11.021739130434783,63184.99,3.913978494623656,0.20212765957446807,2.3186068256194488,94,0.12377558771301446
056b4ada5bbc2c50cc7842547dda6b51,65,0.10606060606060606,0.10606060606060606,-11.784615384615385,13988.51,4.123076923076923,0.15151515151515152,1.9221153846153838,65,0.10777323086963048
fd386aa7bed2af3c7035c65506c9b4a3,69,0.10526315789473684,0.06578947368421052,-9.06578947368421,4303.33,4.355263157894737,0.14473684210526316,1.645438596491228,69,0.10268266446040746
77530e9772f57a62c906e1c21538ab82,320,0.10512820512820513,0.06666666666666667,-10.350785340314136,83765.19,4.051546391752577,0.17435897435897435,1.961160393191082,320,0.14975547299985695
c3867b4666c7d76867627c2f7fb22e21,245,0.10384615384615385,0.08846153846153847,-9.351239669421487,48809.81,3.8464566929133857,0.21923076923076923,2.383445893374,245,0.14863224814354833
70a12e78e608ac31179aea7f8422044b,315,0.10365853658536585,0.07317073170731707,-9.863777089783282,40297.7,3.766153846153846,0.21036585365853658,2.155023741690408,315,0.15841939527572377
4a3ca9315b744ce9f8e9374361493884,1806,0.10344827586206896,0.08045977011494253,-9.092205807437596,312113.91,3.806008146639511,0.191904047976012,2.0953077452214224,1806,0.20383624508439355
50c9975695009e5e6473912e83a6d1da,50,0.10294117647058823,0.08823529411764706,-8.235294117647058,9751.06,3.985074626865672,0.16176470588235295,2.014925373134328,50,0.10156566544105028
7681ef142fd2c19048da7430856b5588,59,0.10256410256410256,0.0641025641025641,-8.909090909090908,68622.27,4.12,0.15384615384615385,1.8637837837837832,59,0.10192543097391338
f27e33c6d29b5138fa9967bcd445b6d5,93,0.10204081632653061,0.04081632653061224,-10.010204081632653,11944.27,4.091836734693878,0.16326530612244897,1.7956027771933512,93,0.11329912175236916
4e922959ae960d389249c378d1c939f5,420,0.1013215859030837,0.05726872246696035,-12.452914798206278,61041.15,3.89532293986637,0.20044052863436124,2.205536111994909,420,0.157175451481244
f84a00e60c73a49e7e851c9bdca3a5bb,90,0.10101010101010101,0.09090909090909091,-10.237113402061855,8957.83,3.6530612244897958,0.26262626262626265,2.5588049652850837,90,0.12472891813065043
8444e55c1f13cd5c179851e5ca5ebd00,99,0.10091743119266056,0.09174311926605505,-20.69607843137255,30152.510000000002,3.0654205607476634,0.3944954128440367,3.0428495856110036,99,0.1516078907168266
99eaacc9e6046db1c82b163c5f84869f,66,0.1,0.07142857142857142,-8.283582089552239,16503.12,3.9,0.2,1.9463768115942026,66,0.10781263126643505
42b729f859728f5079499127a9c2ef37,104,0.09848484848484848,0.08333333333333333,-6.595419847328245,8993.57,4.3538461538461535,0.09090909090909091,1.4242098986285021,104,0.10527349009217013
213b25e6f54661939f11710a6fddb871,155,0.0979381443298969,0.05154639175257732,-10.43157894736842,28009.7,3.7853403141361257,0.20618556701030927,2.1273629098925317,155,0.13065497034341855
527801b552d0077ffd170872eb49683b,90,0.09782608695652174,0.07608695652173914,-10.826086956521738,20926.28,4.483516483516484,0.07608695652173914,1.1413919413919416,90,0.09842268584391783
8648b1e89e9b349e32d3741b30ec737e,95,0.0970873786407767,0.038834951456310676,-11.29,10025.460000000001,4.029126213592233,0.17475728155339806,2.263849229011993,95,0.1099842937703093
1835b56ce799e6a4dc4eddc053f04066,423,0.09660107334525939,0.06797853309481217,-10.164855072463768,75415.85,3.5942028985507246,0.25402504472271914,2.521055261842763,423,0.16259815089008506
